week_monday,total_females,number_of_traps,females - mixed
2019-07-08,1849.0,45,41.08888888888889
2019-07-15,711.0,42,16.928571428571427
2019-07-22,1730.0,45,38.44444444444444
2019-07-29,3424.0,43,79.62790697674419
2019-08-05,4549.0,45,101.08888888888889
2019-08-12,2969.0,44,67.47727272727273
2019-08-19,2272.0,41,55.41463414634146
2019-08-26,1494.0,32,46.6875
2019-09-02,2878.0,42,68.52380952380952
2019-09-09,2138.0,44,48.59090909090909
2019-09-16,1923.0,45,42.733333333333334
2019-09-23,1161.0,46,25.23913043478261
2019-09-30,2124.0,45,47.2
2019-10-07,1322.0,40,33.05
2019-10-14,1254.0,43,29.162790697674417
2019-10-21,2191.0,44,49.79545454545455
2019-10-28,2914.0,44,66.22727272727273
2019-11-04,1861.0,40,46.525
2019-11-18,656.0,43,15.255813953488373
2019-12-02,68.0,31,2.193548387096774
2019-12-09,1194.0,42,28.428571428571427
2020-01-06,1820.0,44,41.36363636363637
2020-01-13,2100.0,42,50.0
2020-01-27,590.0,44,13.409090909090908
2020-02-03,2622.0,44,59.59090909090909
2020-02-10,3117.0,42,74.21428571428571
2020-02-17,1261.0,32,39.40625
2020-03-02,4373.0,44,99.38636363636364
2020-03-09,2278.0,45,50.62222222222222
2020-03-16,1938.0,40,48.45
2020-03-23,1866.0,42,44.42857142857143
2020-03-30,2090.0,42,49.76190476190476
2020-04-06,4296.0,43,99.90697674418605
2020-04-13,4077.0,42,97.07142857142857
2020-04-20,7555.0,39,193.71794871794873
2020-04-27,2414.0,41,58.8780487804878
2020-05-04,4407.0,43,102.48837209302326
2020-05-11,5481.0,40,137.025
2020-05-18,6752.0,43,157.02325581395348
2020-05-25,6986.0,43,162.46511627906978
2020-06-01,8630.0,41,210.4878048780488
2020-06-08,2579.0,43,59.97674418604651
2020-06-15,5096.0,42,121.33333333333333
2020-06-22,6094.0,40,152.35
2020-06-29,2873.0,46,62.45652173913044
2020-07-06,2976.0,44,67.63636363636364
2020-07-13,4463.0,44,101.43181818181819
2020-07-20,1954.0,44,44.40909090909091
2020-07-27,1860.0,46,40.43478260869565
2020-08-03,4081.0,44,92.75
2020-08-10,2030.0,43,47.2093023255814
2020-08-17,1882.0,45,41.82222222222222
2020-08-31,1534.0,41,37.41463414634146
2020-09-07,1460.0,37,39.45945945945946
2020-09-28,965.0,40,24.125
2020-10-05,1570.0,41,38.292682926829265
2020-10-12,1421.0,44,32.29545454545455
2020-10-19,1299.0,42,30.928571428571427
2020-10-26,1681.0,43,39.093023255813954
2020-11-02,638.0,42,15.19047619047619
2020-11-09,2473.0,46,53.76086956521739
2020-11-16,516.0,40,12.9
2020-11-23,1194.0,45,26.533333333333335
2020-12-07,569.0,34,16.735294117647058
2020-12-14,16.0,15,1.0666666666666667
2021-01-04,1065.0,43,24.767441860465116
2021-01-18,1794.0,44,40.77272727272727
2021-01-25,1253.0,43,29.13953488372093
2021-02-01,27.0,18,1.5
2021-02-08,717.0,38,18.86842105263158
2021-02-22,430.0,40,10.75
2021-03-01,188.0,34,5.529411764705882
2021-03-08,247.0,37,6.675675675675675
2021-03-15,405.0,38,10.657894736842104
2021-03-22,575.0,39,14.743589743589743
2021-03-29,1646.0,41,40.146341463414636
2021-04-05,2023.0,45,44.955555555555556
2021-04-12,2685.0,44,61.02272727272727
2021-04-19,5117.0,45,113.71111111111111
2021-04-26,3422.0,43,79.5813953488372
2021-05-03,11133.0,45,247.4
2021-05-17,2534.0,44,57.59090909090909
2021-05-24,8066.0,42,192.04761904761904
2021-05-31,8993.0,44,204.38636363636363
2021-06-07,5650.0,42,134.52380952380952
2021-06-14,11094.0,44,252.13636363636363
2021-06-21,5244.0,40,131.1
2021-06-28,4555.0,44,103.52272727272727
2021-07-05,8604.0,45,191.2
2021-07-12,4876.0,45,108.35555555555555
2021-07-19,4512.0,44,102.54545454545455
2021-07-26,5107.0,46,111.02173913043478
2021-08-02,3149.0,43,73.23255813953489
2021-08-09,2692.0,41,65.65853658536585
2021-08-16,3848.0,43,89.48837209302326
2021-08-23,1768.0,43,41.116279069767444
2021-09-06,1055.0,27,39.074074074074076
2021-09-13,2994.0,42,71.28571428571429
2021-09-20,2511.0,39,64.38461538461539
2021-09-27,2951.0,41,71.97560975609755
2021-10-04,3377.0,42,80.4047619047619
2021-10-11,2935.0,43,68.25581395348837
2021-10-18,4451.0,45,98.91111111111111
2021-11-01,2105.0,43,48.95348837209303
2021-11-08,1148.0,45,25.511111111111113
2021-11-15,2065.0,44,46.93181818181818
2021-11-22,1120.0,41,27.317073170731707
2021-11-29,932.0,42,22.19047619047619
2021-12-06,2688.0,41,65.5609756097561
2022-01-17,635.0,40,15.875
2022-01-24,53.0,20,2.65
2022-01-31,1184.0,42,28.19047619047619
2022-02-07,104.0,30,3.466666666666667
2022-02-14,325.0,43,7.558139534883721
2022-02-21,720.0,39,18.46153846153846
2022-03-07,1051.0,43,24.441860465116278
2022-03-14,480.0,43,11.162790697674419
2022-03-21,392.0,40,9.8
2022-03-28,1310.0,44,29.772727272727273
2022-04-11,1085.0,37,29.324324324324323
2022-04-18,1844.0,43,42.883720930232556
2022-04-25,4131.0,42,98.35714285714286
2022-05-02,9837.0,46,213.84782608695653
2022-05-09,6420.0,43,149.30232558139534
2022-05-16,5976.0,45,132.8
2022-05-30,5692.0,41,138.82926829268294
2022-06-06,7379.0,44,167.70454545454547
2022-06-13,6494.0,44,147.5909090909091
2022-06-20,3458.0,44,78.5909090909091
2022-06-27,3484.0,46,75.73913043478261
2022-07-04,1805.0,46,39.23913043478261
2022-07-11,3779.0,43,87.88372093023256
2022-07-18,2629.0,45,58.422222222222224
2022-07-25,1598.0,43,37.16279069767442
2022-08-01,1736.0,43,40.372093023255815
2022-08-08,4213.0,42,100.30952380952381
2022-08-15,4792.0,43,111.44186046511628
2022-08-22,2309.0,43,53.69767441860465
2022-08-29,1956.0,43,45.48837209302326
2022-09-05,2109.0,44,47.93181818181818
2022-09-12,1775.0,42,42.26190476190476
2022-09-19,1839.0,46,39.97826086956522
2022-09-26,989.0,43,23.0
2022-10-03,1311.0,45,29.133333333333333
2022-10-10,1285.0,42,30.595238095238095
2022-10-17,893.0,45,19.844444444444445
2022-10-24,1652.0,44,37.54545454545455
2022-10-31,1398.0,43,32.51162790697674
2022-11-07,890.0,43,20.697674418604652
2022-11-14,442.0,40,11.05
2022-11-28,1929.0,41,47.048780487804876
2022-12-12,1991.0,42,47.404761904761905
2023-01-16,1947.0,44,44.25
2023-01-23,177.0,36,4.916666666666667
2023-01-30,2276.0,43,52.93023255813954
2023-02-06,734.0,43,17.069767441860463
2023-02-13,640.0,42,15.238095238095237
2023-02-27,1366.0,40,34.15
2023-03-06,1400.0,41,34.146341463414636
2023-03-13,721.0,44,16.386363636363637
2023-03-20,95.0,33,2.878787878787879
2023-03-27,3958.0,43,92.04651162790698
2023-04-03,3775.0,42,89.88095238095238
2023-04-10,3831.0,46,83.28260869565217
2023-04-17,2417.0,45,53.71111111111111
2023-04-24,3159.0,45,70.2
2023-05-01,6247.0,45,138.82222222222222
2023-05-08,6156.0,45,136.8
2023-05-15,4696.0,45,104.35555555555555
2023-05-22,5768.0,44,131.0909090909091
2023-05-29,7022.0,45,156.04444444444445
2023-06-05,7832.0,44,178.0
2023-06-12,5458.0,45,121.28888888888889
2023-06-19,3050.0,43,70.93023255813954
2023-06-26,2662.0,45,59.15555555555556
2023-07-03,1664.0,36,46.22222222222222
2023-07-10,2181.0,45,48.46666666666667
2023-07-17,1950.0,45,43.333333333333336
2023-07-24,2159.0,45,47.977777777777774
2023-07-31,2500.0,44,56.81818181818182
2023-08-07,1276.0,44,29.0
2023-08-14,825.0,45,18.333333333333332
2023-08-21,938.0,44,21.318181818181817
2023-08-28,616.0,39,15.794871794871796
2023-09-04,1111.0,45,24.68888888888889
2023-09-11,948.0,43,22.046511627906977
2023-09-18,665.0,45,14.777777777777779
2023-09-25,1702.0,46,37.0
2023-10-02,1972.0,45,43.82222222222222
2023-10-09,1234.0,44,28.045454545454547
2023-10-16,902.0,42,21.476190476190474
2023-10-30,140.0,35,4.0
2023-11-06,1073.0,42,25.547619047619047
2023-11-13,875.0,45,19.444444444444443
2023-11-27,35.0,26,1.3461538461538463
2023-12-11,55.0,27,2.037037037037037
2024-01-08,5.0,5,1.0
2024-01-22,8.0,3,2.6666666666666665
2024-01-29,188.0,33,5.696969696969697
2024-02-05,98.0,28,3.5
2024-02-19,42.0,22,1.9090909090909092
2024-02-26,417.0,42,9.928571428571429
2024-03-04,1060.0,42,25.238095238095237
2024-03-11,430.0,38,11.31578947368421
2024-03-18,43.0,21,2.0476190476190474
2024-03-25,1647.0,39,42.23076923076923
2024-04-01,2474.0,43,57.53488372093023
2024-04-08,1645.0,42,39.166666666666664
2024-04-15,2745.0,41,66.95121951219512
2024-04-22,857.0,45,19.044444444444444
2024-04-29,4547.0,41,110.90243902439025
2024-05-06,4623.0,44,105.06818181818181
2024-05-13,1546.0,41,37.707317073170735
2024-05-20,7242.0,42,172.42857142857142
2024-05-27,5194.0,44,118.04545454545455
2024-06-03,5605.0,46,121.84782608695652
2024-06-10,4060.0,44,92.27272727272727
2024-06-17,3096.0,39,79.38461538461539
2024-06-24,2902.0,42,69.0952380952381
2024-07-01,2336.0,45,51.91111111111111
2024-07-08,1142.0,45,25.377777777777776
2024-07-15,1192.0,44,27.09090909090909
2024-07-22,1875.0,43,43.604651162790695
2024-07-29,1314.0,42,31.285714285714285
2024-08-05,1309.0,44,29.75
2024-08-12,1163.0,45,25.844444444444445
2024-08-19,676.0,42,16.095238095238095
2024-08-26,679.0,41,16.5609756097561
2024-09-02,698.0,44,15.863636363636363
2024-09-16,1073.0,40,26.825
2024-09-23,1292.0,42,30.761904761904763
2024-09-30,853.0,42,20.30952380952381
2024-10-07,1508.0,41,36.78048780487805
2024-10-14,726.0,43,16.88372093023256
2024-10-21,571.0,42,13.595238095238095
2024-10-28,1161.0,43,27.0
2024-11-04,1754.0,40,43.85
2024-11-11,2314.0,41,56.4390243902439
2024-11-18,645.0,40,16.125
2024-12-02,241.0,33,7.303030303030303
2024-12-16,1851.0,42,44.07142857142857
